,id,date,time,username,name,polarity,tweet,link
0,1.23765041260761e+18,2020-03-11,08:03:47,surajsh17139970,Suraj Shukla,1,"सुबह से हरामखोर #रवीश_कुमार #YesBank पर डिबेट कर रहा था, जैसे ही #प्रियंका का नाम आया, #श्रीनगर में भारी बर्फबारी हो गई!! 😂😂😂",https://twitter.com/SurajSh17139970/status/1237650412607614977
1,1.23840267742956e+18,2020-03-13,09:53:01,kundrakamal,KAmal Kundra,1,गांड़ मरा,https://twitter.com/kundrakamal/status/1238402677429559297
2,1.23768742554082e+18,2020-03-11,10:30:52,mrndi444,#मधु,0,जादा उदास  ना रहो कहना तेरा #मरहम का काम कर गया-  आयी लबपर हँसी बहोत दिन हुये मुस्कुराये हुए--  #शब्द_शाला❣️ #मधु❤️,https://twitter.com/Mrndi444/status/1237687425540820992
3,1.23907245123915e+18,2020-03-15,06:14:27,kalyanjadhav,कल्याण जाधव,0,सगळ्यात जास्त खुश अंगद भाऊ झाले... 😝😝😝,https://twitter.com/kalyanjadhav/status/1239072451239145472
4,1.18461680569372e+18,2019-10-16,23:47:10,bobofas,Celi,1,NRI असंतुस्ट भाभी ने लंड चूस के मलाई पी गयी  http://xv.musz.info/nri-%e0%a4%85%e0%a4%b8%e0%a4%82%e0%a4%a4%e0%a5%81%e0%a4%b8%e0%a5%8d%e0%a4%9f-%e0%a4%ad%e0%a4%be%e0%a4%ad%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%b2%e0%a4%82%e0%a4%a1-%e0%a4%9a%e0%a5%82%e0%a4%b8-%e0%a4%95-3/ …,https://twitter.com/bobofas/status/1184616805693718528
5,1.23883083331985e+18,2020-03-14,14:14:21,sapna4ajay,sapna@ajay,1,जनता की हालत उस लाचार शादी शुदा ओरत जैसे है। जिस का मर्द खस्सी है। हवस की मारी अपने मोटे लैंड वाले यार को चूत भी देती है ओर पैसे भी।  https://twitter.com/asli_arunima/status/1238819542798721024 …,https://twitter.com/sapna4ajay/status/1238830833319854081
6,1.23908642355205e+18,2020-03-15,07:09:59,ramgopa05150242,Ram Gopal Singh,0,राष्ट्र बनाया एक हिम्मतवाला हिंदूस्थान बनाया काश्मीर राम मन्दिर काशी को भोलेनाथ का सुन्दर दर्पण बनाया  https://twitter.com/sinhainc7/status/1238827194547236870 …,https://twitter.com/RamGopa05150242/status/1239086423552053248
7,1.23881056964737e+18,2020-03-14,12:53:50,raj_tatamotors,Raj Vishwakarma,1,"अबे चूतिए, जाहिल, तो ये क्या गांड़… मरवाकर विधायक बने है। फिर चुनाव लड़ने मे ये गांड़ू अपनी उम्र क्या दिखाया था। @ArvindKejriwal तू पूरी तरह चूतिया है।   #Hence_proved",https://twitter.com/RAJ_TATAMOTORS/status/1238810569647374337
8,1.23907013860897e+18,2020-03-15,06:05:16,atul094,Atul | अतुल,0,ये एक बहुत ही अच्छा कदम है आज मोबाइल फोन लोगो की नॉर्मल लाइफ बर्बाद करने का सबसे बड़ा कारण है ऐसी बस्तुओं का मूल्य बढ़ा के जरूरत की चीजों पर ख़र्च करना बेहतर होगा,https://twitter.com/Atul094/status/1239070138608967680
9,1.13570342539022e+18,2019-06-04,00:22:51,tkxdhwkgbhsie0p,जहिर रियल सेक्स करना पसन्द है कोई यूपी,1,बहुत मस्त लग रही हो एक बार मेरा लंड चूस ओगी,https://twitter.com/TkxDhWKGBhSIe0p/status/1135703425390223360
10,1.23907313343007e+18,2020-03-15,06:17:10,bjp4aurangabad,BJP Aurangabad Maharashtra,0,भावभीनी श्रद्धांजलि,https://twitter.com/BJP4Aurangabad/status/1239073133430067200
11,1.23908139616292e+18,2020-03-15,06:50:00,qaisarshakeel,QAISAR SHAKEEL قیصر,0,वीडियो बना कर दिखाया उसका शुक्रिया।  वीडियो बनाने वाला कैमरा छोड़ कर दिव्यांग की सहायता करता तो ज़्यादा अच्छा था।,https://twitter.com/qaisarshakeel/status/1239081396162920449
12,1.23887187004219e+18,2020-03-14,16:57:25,kharelkushal9,कुशल खरेल,1,एउटा गान्डु चाकरिबाज लाई ब्लक हानियो अब देखि गाण्डु का कुरा हेर्नै पर्दैन !,https://twitter.com/kharelkushal9/status/1238871870042189824
13,1.23888314855907e+18,2020-03-14,17:42:14,rvesda6hndjqgfo,हातिम,1,"बकरी चोद कोम है भाई हमारी वैसे ख़ातूनों को कंही जाने नही देते लेकिन 500 रूप और बिरयानी के लिए रोड़ पर बिठा दिया और खुद घर रजाइयों में सो गए, अब कोई हमेओरतो के पीछे छुपने वाला हिजड़ा बोले तो किया करे",https://twitter.com/rVEsda6HNdJQGfo/status/1238883148559073280
14,1.2374353222265e+18,2020-03-10,17:49:05,dnyanes44342268,kim Jong un india,1,भो्‍सड़ी वाले कुछ कह रहे सिंधीया परिवार गद्दर है क्या उनकी बहन को उठा लाया क्या,https://twitter.com/Dnyanes44342268/status/1237435322226499584
15,1.23877670720245e+18,2020-03-14,10:39:17,imvissu29,vissu,1,आज तो तेरी चूत की सारी आग बुझा दूंगा मेरी बहन...आज रात तू मेरी दुल्हन है  pic.twitter.com/0d5F56E6zA,https://twitter.com/ImVissu29/status/1238776707202445313
16,1.23909060061331e+18,2020-03-15,07:26:35,suresh031957,सुरेश शर्मा,0,जय श्री राम जय भारत,https://twitter.com/Suresh031957/status/1239090600613306368
17,1.23802791572974e+18,2020-03-12,09:03:51,aman_jayhind,राष्ट्रवादी_अमन कुमार🇮🇳🚩,1,"सुन पूरा देश 🇮🇳 तेरे बाप की ठेका नही है, भोसड़ी के इस्लामिक आतंकी जो तू पूरा देश की बात कर रहा है। हराम के पिल्ले हम खूब जानते हैं, इस्लाम और उसके हरामी ही दिल्ली दंगे के कुत्ते है।😡😡",https://twitter.com/Aman_JayHind/status/1238027915729739777
18,1.23908303062017e+18,2020-03-15,06:56:30,paradkar_dipali,Dipali Paradkar,0,"Sant Shri Asharamji Bapu से प्रेरणा पाकर अनेकों ने दुर्व्यसनों को त्याग कर सदाचार अपनाया है,ऐसे संत के सत्संग से मानव समाज वंचित हो रहा है,बापूजी की शीघ्र रिहाई होनी चाहिए ऐसी आवाज के साथ महिला उत्थान मंडल की विशाल संकीर्तन यात्रा  #VoiceRaisedOnWomensDay https://youtu.be/QjpwMK7QUgc ",https://twitter.com/paradkar_dipali/status/1239083030620168192
19,1.23795695449806e+18,2020-03-12,04:21:52,psn142,Pankaj Tiwari,1,@RahulGandhi राहुल जी आपके विनाश के सबसे बड़े कारण आप और @digvijaya_28 जैसे हरामखोर नेता ही बनेंगे।,https://twitter.com/psn142/status/1237956954498064384
20,1.23756063928908e+18,2020-03-11,02:07:03,shyamsi21690195,श्याम सिंह,1,केजरी होली की हार्दिक शुभकामनाएं ।होती हे    mubark nahi  समझा कमीने धोकेबाज,https://twitter.com/Shyamsi21690195/status/1237560639289081856
21,1.23798814757886e+18,2020-03-12,06:25:49,qjlnon04rsjmnd7,अजय शर्मा,1,"विपक्ष और वामपंथी आज भी रंडी रोना कपिल मिश्रा पर कर रहे हैं   और मजे की बात देखो गिरफ्तार ताहिरहुसेन,शाहरुख,पीएफआई के लोग हो रहे हैं। और यह उनपर आज भी बोलने को तैयार नही।",https://twitter.com/qJlnOn04rSJmnD7/status/1237988147578855425
22,1.23796884227124e+18,2020-03-12,05:09:07,real_brahmin,गोलू शुक्ला,1,तुम नंबरी चुटिया 😇😸,https://twitter.com/Real_Brahmin/status/1237968842271240194
23,1.23772213626287e+18,2020-03-11,12:48:47,gchordia57,Gautham Chand Chordia,1,यह नज़र बर्बाद कर दी नीयत देखो हरामखोर की  https://twitter.com/ketanvirani_/status/1237670291096113154 …,https://twitter.com/gchordia57/status/1237722136262868992
24,1.23803638878574e+18,2020-03-12,09:37:31,pradhanshashank,Shashank Pradhan,1,कमल किशोर जी बाला साहेब ने तो कहा था कि जो सोनिया गांधी के साथ है वो 'हिजड़ा' है। वो बात आप भूल गए क्योंकि वहां सत्ता की मलाई चाटनी है फिर क्यों ज्ञान बांट रहे हैं।  https://twitter.com/KamalKishor_INC/status/1237946219999055872 …,https://twitter.com/PradhanShashank/status/1238036388785741824
